target,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,AB1,AB2,AB3,AB4,AB5,u3,u6,Nd,FE,BG,firstIE,TF,v1,v2
2.60961,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,6.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.046875,0.046875
0.93901,0.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,9.0,0.0,3.0,1.0,3.0,0.1875,0.03125,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.0625
2.09672,3.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.03125,0.0625
3.55789,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.046875
3.30358,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,0.0625,0.0069444444444444,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0208333333333333
4.00774,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.046875
3.0795,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,0.0625,0.0208333333333333,0.375,-1.58698591135375,2.1486750000000003,6.490695625000001,0.2842465753424658,0.0625,0.0416666666666666
1.51292,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,6.0,4.0,2.0,0.0,4.0,0.0,0.0,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.046875,0.0625
2.31507,2.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.5,-1.5604329391066665,2.2797500000000004,6.562975,0.3321917808219178,0.03125,0.0625
1.24265,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,0.0,4.0,0.0,0.0,0.1875,0.09375,0.25,-1.3239741227675,2.1080500000000004,6.70776175,0.2465753424657534,0.0625,0.0625
